title,category
국정원  사전투표 여부 조작땐  본투표서 이중 투표 가능 ,Politic
    민생 국감  약속해놓고 첫날부터  기승전 대여 공세 만       국감 ,Politic
불붙은  중동 화약고      테러지원국  북한 무기 투입 이어지나,Politic
강서구청장 보궐 승패에 이재명 체제  안정  여부 달려,Politic
신원식 국방       합의  최대한 빨리 효력정지 ,Politic
김기현도 이재명도 지는 쪽은 치명타 강서구청장 보선 투표 시작,Politic
 신원식 막말  vs  이재명도 쌍욕  국방위 국감 파행 지속,Politic
김 여사  광주디자인비엔날레 방문 문화예술계 격려,Politic
 속보     이 팔 사태에  교민 여행객 안전대책 철저히 마련  지시,Politic
권익위  이재명  법인카드 유용 알았을 개연성  대검에 이첩,Politic
악재뚫고 웃은 반도체 대장주    만전자   만닉스  가나,Economic
정의선 회장  파리에서 부산엑스포 유치 총력,Economic
산업장관  전기료 진작 올렸다면  한전 적자   정부 책임론 ,Economic
김승연  창업 시대의 야성 되살리자 ,Economic
LG전자  분기 영업익      억 원 가전   전장 호조,Economic
영국서  핵심광물파트너십  회의   안정적 공급망 구축  종합 ,Economic
롯데건설  잠원동 본사에 AI 연계 안전상황센터 개관,Economic
 월 경상수지 넉달 연속 흑자 수출보다 수입 더 줄어,Economic
보험사 대출 연체액  년새 두 배  껑충  연체율도 급증,Economic
연준 고위급  장기 국채금리 상승에 추가 인상 필요성  뚝 ,Economic
서울대 경북대병원 노조  오늘부터 파업 돌입  의료 공공성 강화 등 요구,Social
대구 군위군  대구시 시정혁신 우수사례 장려상 수상,Social
 검찰도 보완수사 가능  수사준칙 개정안 다음달 시행,Social
 대통령 때문  VS  고의적 낙마     대법원장 공백 놓고  네 탓 공방 ,Social
 속보  이스라엘 성지순례 우리 국민    명 무사 귀국,Social
한준호  바닥 훼손 등 반려동물 둘러싼 임대차 분쟁 급증 ,Social
 등급 압박 더 심해진다  확  바뀐 수능에 의대 쏠림 수험생 부담 가중 등 우려,Social
수능 출제진 과세정보 사전 확인   년간 영리 행위 금지  대입제도 개편 ,Social
부산지하철 노사 최종 교섭 시작 오후  시 결과 윤곽,Social
 불량코인 돌려막기    억원 편취 코인업체 대표 구속 기소,Social
구순에도  충만한 사랑  노래한 시인  별이 되다,Culture
   KBS 사장 임명 방해 내부 카르텔  좌우 막론 좌시 않을 것 ,Culture
한국출판공로상 특별공로상에 박민권 전 문체부 차관,Culture
 일교차 최대   도  맑고 쌀쌀한 가을 날씨,Culture
 퇴근길 기온  일교차      도 안팎 동해안 비 차츰 그쳐  강풍 너울 주의 날씨 ,Culture
  년 묵혀온 소설 낸 김홍신  죽음의 공포 속에서 마무리 ,Culture
오늘도 청명한 가을 하늘 큰 일교차 아침 안개 조심 날씨 ,Culture
영업익  배로 키웠다   년만에     위  눈앞 정의선 취임  년 ,Culture
      등 전세계 동시대응 가능 중동 확전 대비해 비상계획 ,World
EU 외교수장  이 팔 외무장관  EU 긴급회의에 초청 ,World
 힘으로 제압    이스라엘  지상군 투입 임박,World
매카시  하원의장 재출마 가능성  당이 원하면 뭐든 할 것 ,World
  인질 처형  하마스 경고에 이스라엘  이제 시작   지상군 투입 임박  전망 한눈에 이슈 ,World
 미국과 이스라엘은 동반자  바이든   대통령 반 이스라엘 진영에 우회적 경고,World
 네타냐후  병원 긴급 호송  이 팔 전쟁 가짜뉴스 온상 된  X ,World
이스라엘군  가자지구 공습으로 하마스 지도자  명 사살 ,World
 푸틴  미국의 중동 정책 실패 드러나  이 팔 전쟁 ,World
러시아  오늘 유엔 인권이사회 복귀 시도 성사 예상,World
협업 플랫폼  스윗      출시,IT
 통신 사 자회사  알뜰폰 시장     점유 도입 취지 무색 ,IT
카카오  GS리테일과 손잡고 주류 판매 확대,IT
업비트  프랑스 가상자산 분석업체 카이코 평가  국내  위 ,IT
 다음  대깨문은 삭제하고 닭근혜와  은 방치 ,IT
차 종합연구원 비티씨와  갱년기 개선 건기소재 개발 맞손,IT
LGU   BIFF서  부산엑스포  유치 응원 이동기지국 운영,IT
AWS  국내 기업 생성형 AI 구축에   억원 지원,IT
